ingredient_extracted,ingredient_standardized,frecuencia
medium white potatoes peeled and cut in half,medium white potato peeled and cut in half,1
mazorcas de maiz o granos,mazorca de maiz o grano,1
"mazorcas de maiz fresco, en 2 piezas",mazorca de maiz en 2 pieza,1
panela o azucar morena a su gusto,panela o azucar morena a su gusto,1
panela o a su gusto,panela o a su gusto,1
pan blanco,pan,1
palo de canela,palo de canela,1
oruegano,oruegano,1
o 16 oz de panela o,16 oz de panela,1
naranjo o 1 cucharadita de de naranja,naranjo o 1 cucharadita de de naranja,1
name alrededor de 3 libras pelados y,name alrededor de 3 libra,1
muslos de pollo sin la piel,pollo,1
muslos de pollo sin hueso y,pollo,1
muslos de pollo o 4 pechugas,pollo,1
muslos de pollo con piel,pollo,1
muslos de pollo con hueso y piel,pollo,1
muchacho posta o capon de 3 a 4 libras entero,muchacho posta o capon de 3 a 4 libra entero,1
mostaza de dijon,mostaza de dijon,1
cuarto de cucharadita de comino,comino,1
papas,papa,1
costillas de cerdo o espinazos,costilla de cerdo o espinazo,1
costillas de cerdo o espinazo de cerdo,costilla de cerdo o espinazo de cerdo,1
costillas de cerdo o chuletas de cerdo,costilla de cerdo o chuleta de cerdo,1
costillas de cerdo o carne de cerdo,carne de cerdo,1
corazones grandes de alcachofas congeladas o frescas,corazon de alcachofa congelada,1
comino y sal y pimienta,comino,1
